X,Y,Z,Z_Dither,Bregma_AP,Bregma_DV,Bregma_ML,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,ID,Acronym
291.0316,67.4841,212.2736,213.1854,43.1608,-1217.1013,1575.7893,31859.1707,1688.439,0,0,Left,648,MOp5
295.1795,67.4624,212.2191,212.8324,44.5222,-1216.5606,1679.4884,14327.381,1431.4286,0,0,Left,648,MOp5
284.8573,67.3995,212.3248,213.2692,41.8792,-1214.9867,1421.4319,26678.8182,2760.2273,0,0,Left,648,MOp5
283.8867,68.4564,212.2826,211.0714,42.9346,-1241.4098,1397.1665,44784.1667,2044.6833,0,0,Left,648,MOp5
290.0457,68.5727,212.2426,213.5595,43.9355,-1244.3187,1551.1434,36044.1324,2624.1324,0,0,Left,648,MOp5
276.7732,68.1833,212.2944,212.9051,42.6398,-1234.5827,1219.3292,27889.3,1163.1,0,0,Left,844,MOp6a
271.7433,67.9281,212.286,212.143,42.8489,-1228.2019,1093.5832,16805.2286,812.8857,0,0,Left,844,MOp6a
291.0775,68.5789,212.2327,212.5655,44.1829,-1244.4731,1576.9366,41230.3678,1869.4598,0,0,Left,648,MOp5
279.8119,68.3151,212.2933,212.8298,42.6682,-1237.8774,1295.2972,45264.9649,1786,0,0,Left,844,MOp6a
296.2589,68.5544,212.1693,211.6781,45.7681,-1243.8593,1706.4732,25751.7692,1974.4038,0,0,Left,648,MOp5
277.7844,68.2294,212.2946,211.7966,42.6347,-1235.7339,1244.6095,27020.0444,1296.5778,0,0,Left,844,MOp6a
273.8054,69.1122,212.2403,211.6233,43.9919,-1257.8046,1145.1348,22035.58,883.54,0,0,Left,844,MOp6a
293.1898,69.6758,212.1698,211.378,45.7537,-1271.8938,1629.7455,26045.5556,2030.1667,0,0,Left,648,MOp5
288.0374,69.6351,212.2134,212.0599,44.664,-1270.878,1500.9341,22887.4694,2659.7551,0,0,Left,648,MOp5
272.8008,69.06,212.2386,212.9919,44.0354,-1256.5007,1120.0205,22657.413,854.087,0,0,Left,844,MOp6a
280.8835,69.4332,212.2411,211.2003,43.9713,-1265.8307,1322.0885,23934.6087,2134.4348,0,0,Left,844,MOp6a
283.9406,69.5377,212.2335,213.714,44.1633,-1268.4437,1398.5155,31511.2885,2214.8462,0,0,Left,648,MOp5
287.011,69.6158,212.2196,211.8611,44.51,-1270.3945,1475.2757,36650.7042,2322.9296,0,0,Left,648,MOp5
286.0397,70.6743,212.1756,212.6295,45.6111,-1296.8574,1450.9937,35744.4286,1761.7857,0,0,Left,648,MOp5
279.9243,70.4695,212.1903,213.5704,45.2433,-1291.7372,1298.1066,24780.3725,1265.4118,0,0,Left,844,MOp6a
268.8533,69.9226,212.1805,212.8425,45.4871,-1278.0647,1021.3325,11444.2857,655.9524,0,0,Left,1021,MOs6a
295.3033,70.764,212.1073,212.476,47.317,-1299.1009,1682.5833,23063.6333,2075.8,0,0,Left,648,MOp5
281.9571,70.5481,212.1876,212.1383,45.3111,-1293.7023,1348.9277,33530.9818,1280.8,0,0,Left,844,MOp6a
286.0397,70.6743,212.1756,210.7865,45.6111,-1296.8574,1450.9937,40042.3158,1536.4035,0,0,Left,648,MOp5
284.0517,71.6937,212.1306,212.987,46.7345,-1322.3435,1401.2917,41963,1236.25,0,0,Left,844,MOp6a
295.3469,71.8584,212.0666,210.6295,48.3358,-1326.4603,1683.6735,25680.7059,2133.7451,0,0,Left,648,MOp5
292.2517,71.8543,212.0921,211.4498,47.6965,-1326.3587,1606.2919,20849.4,1526.2,0,0,Left,648,MOp5
163.7886,72.7688,208.1731,208.4645,145.6724,-1349.2212,-1605.2861,9294.4231,8371.1154,0,0,Right,648,MOp5
275.934,71.3621,212.1372,212.3231,46.5711,-1314.052,1198.351,13904.7419,837.5161,0,0,Left,844,MOp6a
289.2204,72.9002,212.0618,213.0826,48.456,-1352.5049,1530.5104,44990.3218,2096.3103,0,0,Left,648,MOp5
293.3297,72.9465,212.0393,210.8857,49.018,-1353.6616,1633.2437,23633.4773,2005.0455,0,0,Left,648,MOp5
301.6099,72.8925,211.9644,212.9121,50.8911,-1352.313,1840.2476,36614.1795,1663.4744,0,0,Left,648,MOp5
287.1723,72.8566,212.0695,213.0405,48.2636,-1351.4157,1479.3072,52184.9759,1418.8554,0,0,Left,844,MOp6a
294.36,72.9497,212.0321,212.215,49.1971,-1353.7437,1658.9999,32815.5,1952.5972,0,0,Left,648,MOp5
286.1499,72.8301,212.0725,212.7222,48.187,-1350.7537,1453.7472,25663.3333,1154.9697,0,0,Left,844,MOp6a
296.4243,72.9472,212.0159,212.4965,49.6022,-1353.6789,1710.6083,39572.9107,1491.7679,0,0,Left,648,MOp5
299.5312,72.9221,211.9869,210.9648,50.3281,-1353.0514,1788.2798,35426.7812,1593.2344,0,0,Left,648,MOp5
292.3007,72.94,212.0458,212.6515,48.8545,-1353.4994,1607.518,30519.1515,1594.5455,0,0,Left,648,MOp5
